                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.2129,                  3.595,                 4.1229,                 0.0032,                0.59848,                0.01031,                0.00291,                 3.0038,                 3.8308,                  4.016,             0.00065333,             0.00065333,             0.00065333
                      2,                 3.0516,                 3.3348,                 3.7106,                0.00521,                0.84091,                0.04496,                0.01225,                 2.7321,                  3.348,                 3.7496,              0.0013069,              0.0013069,              0.0013069
                      3,                 2.8671,                 3.2648,                 3.4101,                0.02436,                0.05303,                0.01128,                0.00356,                  2.777,                 6.2306,                 3.5358,              0.0019473,              0.0019473,              0.0019473
                      4,                 2.7238,                 3.1803,                 3.2367,                0.00615,                0.54545,                0.00605,                0.00171,                 2.8846,                 13.199,                 3.8211,              0.0019406,              0.0019406,              0.0019406
                      5,                 2.6237,                 3.0864,                 3.1516,                0.18356,                0.19697,                0.07788,                0.02618,                 2.6844,                 5.1678,                 3.2902,              0.0019406,              0.0019406,              0.0019406
                      6,                 2.5354,                 2.9195,                 3.0002,                0.11954,                0.12879,                0.07131,                0.02303,                 2.5774,                 3.3705,                  3.484,              0.0019208,              0.0019208,              0.0019208
                      7,                 2.4926,                 2.7523,                 2.9436,                0.23356,                0.34848,                0.19266,                0.06564,                 2.5113,                 3.0741,                 3.1002,               0.001901,               0.001901,               0.001901
                      8,                 2.4511,                 2.7144,                 2.8819,                0.32334,                0.36364,                0.31037,                 0.1031,                 2.4211,                 2.4661,                 2.9717,              0.0018812,              0.0018812,              0.0018812
                      9,                 2.3607,                 2.6781,                 2.8226,                0.33839,                0.31818,                0.25175,                 0.0808,                 2.3301,                 2.8035,                 3.0074,              0.0018614,              0.0018614,              0.0018614
                     10,                 2.2562,                 2.5452,                 2.7404,                0.31981,                0.48799,                0.32307,                 0.1277,                 2.1872,                 2.3262,                 2.7815,              0.0018416,              0.0018416,              0.0018416
                     11,                  2.242,                 2.5327,                 2.6953,                 0.3649,                0.41667,                0.31718,                0.13395,                 2.1515,                 2.7074,                 2.7688,              0.0018218,              0.0018218,              0.0018218
                     12,                 2.1755,                 2.4205,                 2.6241,                0.31136,                0.44873,                0.29551,                0.12044,                 2.1107,                 2.6313,                 2.7559,               0.001802,               0.001802,               0.001802
                     13,                 2.1038,                 2.3945,                 2.5503,                0.40193,                0.45455,                0.40758,                0.17135,                 2.1025,                 2.3289,                 2.6621,              0.0017822,              0.0017822,              0.0017822
                     14,                 2.0493,                 2.2676,                 2.4972,                0.46066,                0.50758,                0.43056,                0.18375,                  2.025,                 2.3032,                 2.6733,              0.0017624,              0.0017624,              0.0017624
                     15,                 2.0337,                 2.2742,                  2.476,                0.47262,                0.45488,                0.43119,                 0.1735,                 1.9069,                 2.3475,                 2.5492,              0.0017426,              0.0017426,              0.0017426
                     16,                 1.9815,                 2.2159,                  2.434,                0.62187,                0.47727,                0.50584,                0.22097,                 1.9516,                 2.1539,                 2.5877,              0.0017228,              0.0017228,              0.0017228
                     17,                 1.9405,                 2.1588,                 2.3902,                0.46213,                0.45455,                0.42949,                0.20293,                 2.0124,                  2.239,                 2.5799,               0.001703,               0.001703,               0.001703
